comment_id,user_id,item_id,text,timestamp,is_fake_attack,attack_type,normalized_text,word_set,duplicate_count,duplicate_score,tfidf_similarity,char_similarity,jaccard_similarity,combined_similarity,near_duplicate_score,spam_score,user_comment_count,user_activity_score,unique_users_for_text,text_item_group_size,coordination_score,attack_pattern_score,base_attack_score,coordination_boost,attack_score,detected_fake,is_real_attack
C10,U29,I253,This is worth discussing further. Reference 10,2026-06-28 10:54:31.777016,False,GENUINE,this is worth discussing further reference 10,"{'worth', 'this', 'reference', 'further', 'discussing', '10', 'is'}",1,0,0.7443238159205726,0.8812104175353282,0.0,0.6129975025863317,20,0,7,20,1,1,0,0,6.0,0,6.0,False,False
C11,U217,I181,I have a different opinion about music. Reference 11,2026-07-17 09:03:31.777031,False,GENUINE,i have a different opinion about music reference 11,"{'opinion', 'i', 'music', 'have', 'reference', 'different', 'a', 'about', '11'}",1,0,0.5254597749136626,0.878368045182227,0.0,0.5352581392926727,10,0,6,20,1,1,0,0,4.0,0,4.0,False,False
C12,U901,I305,I have a different opinion about technology. Reference 12,2026-06-25 19:23:31.777047,False,GENUINE,i have a different opinion about technology reference 12,"{'opinion', 'i', 'technology', 'have', 'reference', 'different', '12', 'a', 'about'}",1,0,0.620150526554357,0.9037313519537398,0.0,0.5785452250755209,10,0,9,20,1,1,0,0,4.0,0,4.0,False,False
C13,U970,I97,This is an interesting perspective on sports. Reference 13,2026-06-07 06:57:31.777062,False,GENUINE,this is an interesting perspective on sports reference 13,"{'an', '13', 'perspective', 'this', 'reference', 'interesting', 'on', 'sports', 'is'}",1,0,0.6758838309085068,0.9008890015791833,0.0,0.5969149414496506,10,0,7,20,1,1,0,0,4.0,0,4.0,False,False
C14,U416,I250,This was a surprisingly interesting post. Reference 14,2026-06-09 23:19:31.777076,False,GENUINE,this was a surprisingly interesting post reference 14,"{'was', '14', 'this', 'reference', 'interesting', 'a', 'post', 'surprisingly'}",1,0,0.7375212809061276,0.9626194330150462,0.0,0.6431802215231631,20,0,6,20,1,1,0,0,6.0,0,6.0,False,False
C15,U487,I330,Click here for amazing deals,2026-08-10 06:18:31.777090,False,GENUINE,click here for amazing deals,"{'for', 'amazing', 'deals', 'click', 'here'}",53,50,1.0000000000000002,1.0,1.0,1.0,50,51,5,20,53,1,65,55,52.15,0,52.15,True,False
C16,U95,I150,The explanation of fashion was very clear. Reference 16,2026-06-09 20:45:31.777105,False,GENUINE,the explanation of fashion was very clear reference 16,"{'very', 'was', 'fashion', 'clear', 'of', 'the', 'explanation', 'reference', '16'}",1,0,0.7132141265283888,0.8920494236955767,0.0,0.6064447137631668,20,0,9,20,1,1,0,0,6.0,0,6.0,False,False
C17,U249,I156,Thanks for sharing this information. Reference 17,2026-06-29 18:07:31.777119,False,GENUINE,thanks for sharing this information reference 17,"{'for', 'thanks', 'information', 'this', '17', 'reference', 'sharing'}",1,0,0.5701792786438931,0.8759594744394249,0.0,0.5499465373011325,10,0,6,20,1,1,0,0,4.0,0,4.0,False,False
C18,U566,I271,Best deal available now,2026-06-04 22:27:31.777133,False,GENUINE,best deal available now,"{'available', 'deal', 'now', 'best'}",52,50,1.0,1.0000000000000016,1.0,1.0000000000000007,50,39,5,20,51,2,75,55,53.35,12,65.35,True,False
C19,U563,I169,This is worth discussing further. Reference 19,2026-07-18 04:09:31.777147,False,GENUINE,this is worth discussing further reference 19,"{'worth', '19', 'this', 'reference', 'further', 'discussing', 'is'}",1,0,0.7443238159205726,0.9122881928333518,0.0,0.6254286127055412,20,0,5,20,1,1,0,0,6.0,0,6.0,False,False
C20,U313,I128,The explanation of gaming was very clear. Reference 20,2026-06-07 04:18:31.777161,False,GENUINE,the explanation of gaming was very clear reference 20,"{'very', 'was', 'clear', 'of', 'the', 'explanation', 'reference', '20', 'gaming'}",1,0,0.7108691624061542,0.8866130915616649,0.0,0.6034494434668198,20,0,5,20,1,1,0,0,6.0,0,6.0,False,False
C21,U197,I161,This is an interesting perspective on education. Reference 21,2026-07-25 09:33:31.777176,False,GENUINE,this is an interesting perspective on education reference 21,"{'education', 'an', 'perspective', 'this', 'reference', 'interesting', 'on', '21', 'is'}",1,0,0.6755888896889878,0.9049920788810852,0.0,0.5984529429435799,10,0,5,20,1,1,0,0,4.0,0,4.0,False,False
C22,U221,I378,I think this could be improved. Reference 22,2026-06-06 21:06:31.777190,False,GENUINE,i think this could be improved reference 22,"{'could', 'think', 'i', 'improved', 'this', '22', 'reference', 'be'}",1,0,0.759419500520574,0.9542932189096913,0.0,0.6475141127460775,20,0,3,0,1,1,0,0,4.0,0,4.0,False,False
C23,U603,I389,This was a surprisingly interesting post. Reference 23,2026-08-02 16:22:31.777204,False,GENUINE,this was a surprisingly interesting post reference 23,"{'was', '23', 'this', 'reference', 'interesting', 'a', 'post', 'surprisingly'}",1,0,0.7375212809061276,0.9628319255053035,0.0,0.6432652185192661,20,0,6,20,1,1,0,0,6.0,0,6.0,False,False
C24,U852,I99,I have a different opinion about sports. Reference 24,2026-07-09 23:37:31.777218,False,GENUINE,i have a different opinion about sports reference 24,"{'opinion', 'i', 'sports', '24', 'have', 'reference', 'different', 'a', 'about'}",1,0,0.6198363674364162,0.882768059852446,0.0,0.5700499525437241,10,0,5,20,1,1,0,0,4.0,0,4.0,False,False
C25,U183,I154,I really enjoyed this post about education. Reference 25,2026-07-17 20:44:31.777232,False,GENUINE,i really enjoyed this post about education reference 25,"{'i', 'education', 'this', 'post', 'reference', 'really', '25', 'enjoyed', 'about'}",1,0,0.6416763605206215,0.8824151214144473,0.0,0.5775527747479965,10,0,6,20,1,1,0,0,4.0,0,4.0,False,False
C26,U46,I498,I really enjoyed this post about movies. Reference 26,2026-06-09 08:27:31.777249,False,GENUINE,i really enjoyed this post about movies reference 26,"{'i', '26', 'movies', 'this', 'post', 'reference', 'really', 'enjoyed', 'about'}",1,0,0.646188661896766,0.9335040110076174,0.0,0.5995676360669151,10,0,5,20,1,1,0,0,4.0,0,4.0,False,False
C27,U966,I64,I think this could be improved. Reference 27,2026-08-10 17:11:31.777266,False,GENUINE,i think this could be improved reference 27,"{'could', 'think', 'i', 'improved', '27', 'this', 'reference', 'be'}",1,0,0.759419500520574,0.9539388975687628,0.0,0.6473723842097061,20,0,6,20,1,1,0,0,6.0,0,6.0,False,False
C28,U587,I145,I think this could be improved. Reference 28,2026-07-02 17:45:31.777280,False,GENUINE,i think this could be improved reference 28,"{'could', 'think', 'i', 'improved', 'this', '28', 'reference', 'be'}",1,0,0.759419500520574,0.9540091592188419,0.0,0.6474004888697377,20,0,5,20,1,1,0,0,6.0,0,6.0,False,False
C29,U348,I94,I really enjoyed this post about movies. Reference 29,2026-06-29 08:22:31.777294,False,GENUINE,i really enjoyed this post about movies reference 29,"{'i', 'movies', '29', 'this', 'post', 'reference', 'really', 'enjoyed', 'about'}",1,0,0.646188661896766,0.9335040110076174,0.0,0.5995676360669151,10,0,7,20,1,1,0,0,4.0,0,4.0,False,False
C30,U116,I420,This is an interesting perspective on fashion. Reference 30,2026-06-28 01:44:31.777309,False,GENUINE,this is an interesting perspective on fashion reference 30,"{'an', 'fashion', 'perspective', 'this', 'reference', '30', 'interesting', 'on', 'is'}",1,0,0.6791672089972807,0.901080432915416,0.0,0.5981406963152146,10,0,9,20,1,1,0,0,4.0,0,4.0,False,False
C31,U75,I295,Click here for amazing deals,2026-07-29 06:03:31.777324,False,GENUINE,click here for amazing deals,"{'for', 'amazing', 'deals', 'click', 'here'}",53,50,1.0000000000000002,1.0,1.0,1.0,50,51,9,20,53,1,65,55,52.15,0,52.15,True,False
C32,U830,I288,I have a different opinion about gaming. Reference 32,2026-07-20 05:48:31.777338,False,GENUINE,i have a different opinion about gaming reference 32,"{'opinion', 'i', '32', 'have', 'reference', 'different', 'a', 'gaming', 'about'}",1,0,0.7870119828754931,0.966018815914927,0.0,0.6618617203723933,20,0,8,20,1,1,0,0,6.0,0,6.0,False,False
C33,U121,I285,The information presented here is useful. Reference 33,2026-06-25 06:24:31.777352,False,GENUINE,the information presented here is useful reference 33,"{'useful', 'presented', '33', 'information', 'is', 'the', 'reference', 'here'}",1,0,0.5910259597851174,0.8761580881782527,0.0,0.5573223211960922,10,0,6,20,1,1,0,0,4.0,0,4.0,False,False
C34,U389,I230,I think this could be improved. Reference 34,2026-06-19 06:19:31.777366,False,GENUINE,i think this could be improved reference 34,"{'could', 'think', 'i', 'improved', 'this', 'reference', '34', 'be'}",1,0,0.759419500520574,0.8993385249706201,0.0,0.6255322351704489,20,0,7,20,1,1,0,0,6.0,0,6.0,False,False
C35,U439,I156,Thanks for sharing this information. Reference 35,2026-06-17 08:13:31.777380,False,GENUINE,thanks for sharing this information reference 35,"{'for', 'thanks', 'information', 'this', 'reference', '35', 'sharing'}",1,0,0.5701792786438931,0.8754583247965881,0.0,0.5497460774439978,10,0,5,20,1,1,0,0,4.0,0,4.0,False,False
C36,U983,I378,This is an interesting perspective on sports. Reference 36,2026-06-15 21:31:31.777394,False,GENUINE,this is an interesting perspective on sports reference 36,"{'an', '36', 'perspective', 'this', 'reference', 'interesting', 'on', 'sports', 'is'}",1,0,0.6758838309085068,0.90067898411878,0.0,0.5968309344654894,10,0,7,20,1,1,0,0,4.0,0,4.0,False,False
C37,U216,I135,This is an interesting perspective on education. Reference 37,2026-07-20 23:59:31.777409,False,GENUINE,this is an interesting perspective on education reference 37,"{'education', 'an', 'perspective', 'this', 'reference', '37', 'interesting', 'on', 'is'}",1,0,0.6755888896889878,0.9049920788810852,0.0,0.5984529429435799,10,0,7,20,1,1,0,0,4.0,0,4.0,False,False
C38,U177,I282,This is an interesting perspective on education. Reference 38,2026-08-11 14:08:31.777423,False,GENUINE,this is an interesting perspective on education reference 38,"{'38', 'education', 'an', 'perspective', 'this', 'reference', 'interesting', 'on', 'is'}",1,0,0.6755888896889878,0.904808063607415,0.0,0.5983793368341117,10,0,5,20,1,1,0,0,4.0,0,4.0,False,False
C39,U418,I230,Thanks for sharing this information. Reference 39,2026-07-16 07:43:31.777440,False,GENUINE,thanks for sharing this information reference 39,"{'for', 'thanks', 'information', '39', 'this', 'reference', 'sharing'}",1,0,0.5701792786438931,0.8759594744394249,0.0,0.5499465373011325,10,0,2,0,1,1,0,0,2.0,0,2.0,False,False
C40,U33,I118,I have a different opinion about movies. Reference 40,2026-06-08 20:17:31.777457,False,GENUINE,i have a different opinion about movies reference 40,"{'opinion', 'i', 'movies', 'have', 'reference', 'different', '40', 'a', 'about'}",1,0,0.6243387956706026,0.837036067539443,0.0,0.5533330055004881,10,0,7,20,1,1,0,0,4.0,0,4.0,False,False
C41,U880,I232,This is an interesting perspective on sports. Reference 41,2026-07-18 18:03:31.777471,False,GENUINE,this is an interesting perspective on sports reference 41,"{'an', 'perspective', 'this', 'reference', '41', 'interesting', 'on', 'sports', 'is'}",1,0,0.6758838309085068,0.9008890015791833,0.0,0.5969149414496506,10,0,7,20,1,1,0,0,4.0,0,4.0,False,False
C42,U806,I405,Thanks for sharing this information. Reference 42,2026-07-04 03:15:31.777487,False,GENUINE,thanks for sharing this information reference 42,"{'for', 'thanks', 'information', '42', 'this', 'reference', 'sharing'}",1,0,0.5701792786438931,0.875509954422817,0.0,0.5497667292944894,10,0,7,20,1,1,0,0,4.0,0,4.0,False,False
C43,U117,I278,The explanation of education was very clear. Reference 43,2026-07-18 15:42:31.777502,False,GENUINE,the explanation of education was very clear reference 43,"{'very', 'education', 'was', 'clear', 'of', '43', 'the', 'explanation', 'reference'}",1,0,0.7089229572113387,0.8491438254075574,0.0,0.5877805651869915,10,0,6,20,1,1,0,0,4.0,0,4.0,False,False
C44,U846,I72,This is an interesting perspective on technology. Reference 44,2026-07-27 17:31:31.777516,False,GENUINE,this is an interesting perspective on technology reference 44,"{'an', 'technology', 'perspective', 'this', 'reference', 'interesting', 'on', 'is', '44'}",1,0,0.6784817884372735,0.8576664008875727,0.0,0.5805351863080748,10,0,6,20,1,1,0,0,4.0,0,4.0,False,False
C45,U811,I157,Thanks for sharing this information. Reference 45,2026-07-02 20:38:31.777530,False,GENUINE,thanks for sharing this information reference 45,"{'for', 'thanks', 'information', 'this', 'reference', '45', 'sharing'}",1,0,0.5701792786438931,0.8754789041972616,0.0,0.5497543092042672,10,0,4,0,1,1,0,0,2.0,0,2.0,False,False
C46,U127,I239,I have a different opinion about fashion. Reference 46,2026-07-18 01:15:31.777544,False,GENUINE,i have a different opinion about fashion reference 46,"{'opinion', '46', 'i', 'fashion', 'have', 'reference', 'different', 'a', 'about'}",1,0,0.6208719682633899,0.8526182085981326,0.0,0.5583524723314395,10,0,7,20,1,1,0,0,4.0,0,4.0,False,False
C47,U512,I276,I think this could be improved. Reference 47,2026-08-04 12:15:31.777558,False,GENUINE,i think this could be improved reference 47,"{'could', 'think', 'i', 'improved', 'this', 'reference', '47', 'be'}",1,0,0.759419500520574,0.898829484681052,0.0,0.6253286190546217,20,0,2,0,1,1,0,0,4.0,0,4.0,False,False
C48,U612,I20,The information presented here is useful. Reference 48,2026-06-17 21:09:31.777574,False,GENUINE,the information presented here is useful reference 48,"{'useful', 'presented', 'information', 'is', 'the', 'reference', '48', 'here'}",1,0,0.5910259597851174,0.8761580881782527,0.0,0.5573223211960922,10,0,9,20,1,1,0,0,4.0,0,4.0,False,False
C49,U256,I13,This is an interesting perspective on sports. Reference 49,2026-06-11 10:57:31.777589,False,GENUINE,this is an interesting perspective on sports reference 49,"{'49', 'an', 'perspective', 'this', 'reference', 'interesting', 'on', 'sports', 'is'}",1,0,0.6758838309085068,0.9007211136444311,0.0,0.5968477862757497,10,0,10,40,1,1,0,0,6.0,0,6.0,False,False
C50,U856,I440,Thanks for sharing this information. Reference 50,2026-06-11 15:21:31.777603,False,GENUINE,thanks for sharing this information reference 50,"{'for', 'thanks', 'information', 'this', 'reference', '50', 'sharing'}",1,0,0.5701792786438931,0.8616821663980618,0.0,0.5442356140845873,10,0,3,0,1,1,0,0,2.0,0,2.0,False,False
C51,U841,I137,Thanks for sharing this information. Reference 51,2026-06-03 23:53:31.777617,False,GENUINE,thanks for sharing this information reference 51,"{'for', 'thanks', 'information', '51', 'this', 'reference', 'sharing'}",1,0,0.5701792786438931,0.8609136940894638,0.0,0.5439282251611481,10,0,8,20,1,1,0,0,4.0,0,4.0,False,False
C52,U179,I240,This was a surprisingly interesting post. Reference 52,2026-07-17 12:20:31.777631,False,GENUINE,this was a surprisingly interesting post reference 52,"{'52', 'was', 'this', 'reference', 'interesting', 'a', 'post', 'surprisingly'}",1,0,0.7375212809061276,0.9028184058529453,0.0,0.6192598106583228,20,0,5,20,1,1,0,0,6.0,0,6.0,False,False
C53,U185,I299,The information presented here is useful. Reference 53,2026-08-03 12:39:31.777645,False,GENUINE,the information presented here is useful reference 53,"{'useful', 'presented', 'information', 'is', 'the', 'reference', '53', 'here'}",1,0,0.5910259597851174,0.8621009005901517,0.0,0.5516994461608518,10,0,5,20,1,1,0,0,4.0,0,4.0,False,False
C54,U481,I178,The information presented here is useful. Reference 54,2026-07-13 14:37:31.777661,False,GENUINE,the information presented here is useful reference 54,"{'useful', 'presented', 'information', 'is', 'the', 'reference', '54', 'here'}",1,0,0.5910259597851174,0.8621009005901517,0.0,0.5516994461608518,10,0,4,0,1,1,0,0,2.0,0,2.0,False,False
C55,U686,I53,I learned something useful about music here. Reference 55,2026-07-05 08:43:31.777676,False,GENUINE,i learned something useful about music here reference 55,"{'useful', 'i', 'music', '55', 'reference', 'learned', 'here', 'something', 'about'}",1,0,0.6587797515671846,0.8171509658811341,0.0,0.5574332994009683,10,0,6,20,1,1,0,0,4.0,0,4.0,False,False
C56,U710,I253,I have a different opinion about fashion. Reference 56,2026-06-03 14:38:31.777691,False,GENUINE,i have a different opinion about fashion reference 56,"{'opinion', 'i', 'fashion', 'have', 'reference', 'different', 'a', '56', 'about'}",1,0,0.6208719682633899,0.8526182085981326,0.0,0.5583524723314395,10,0,5,20,1,1,0,0,4.0,0,4.0,False,False
C57,U563,I18,I think this could be improved. Reference 57,2026-07-14 04:54:31.777705,False,GENUINE,i think this could be improved reference 57,"{'could', 'think', 'i', 'improved', 'this', '57', 'reference', 'be'}",1,0,0.759419500520574,0.8822815494573433,0.0,0.6187094449651382,20,0,5,20,1,1,0,0,6.0,0,6.0,False,False
C58,U258,I165,This is an interesting perspective on fashion. Reference 58,2026-06-25 23:49:31.777719,False,GENUINE,this is an interesting perspective on fashion reference 58,"{'an', 'fashion', 'perspective', 'this', 'reference', '58', 'interesting', 'on', 'is'}",1,0,0.6791672089972807,0.8913067984016135,0.0,0.5942312425096936,10,0,6,20,1,1,0,0,4.0,0,4.0,False,False
C59,U844,I0,This was a surprisingly interesting post. Reference 59,2026-07-05 05:13:31.777733,False,GENUINE,this was a surprisingly interesting post reference 59,"{'was', 'this', '59', 'reference', 'interesting', 'a', 'post', 'surprisingly'}",1,0,0.7375212809061276,0.9032138083151517,0.0,0.6194179716432053,20,0,9,20,1,1,0,0,6.0,0,6.0,False,False
C60,U55,I96,This was a surprisingly interesting post. Reference 60,2026-06-16 03:49:31.777747,False,GENUINE,this was a surprisingly interesting post reference 60,"{'was', 'this', 'reference', 'interesting', '60', 'a', 'post', 'surprisingly'}",1,0,0.7375212809061276,0.9033378603525617,0.0,0.6194675924581694,20,0,5,20,1,1,0,0,6.0,0,6.0,False,False
C61,U774,I255,I think this could be improved. Reference 61,2026-07-24 07:18:31.777760,False,GENUINE,i think this could be improved reference 61,"{'could', 'think', 'i', 'improved', 'this', 'reference', '61', 'be'}",1,0,0.759419500520574,0.8821199022955011,0.0,0.6186447861004014,20,0,10,40,1,1,0,0,8.0,0,8.0,False,False
C62,U273,I281,I learned something useful about movies here. Reference 62,2026-07-02 22:54:31.777774,False,GENUINE,i learned something useful about movies here reference 62,"{'useful', 'i', 'movies', 'reference', 'learned', 'here', 'something', 'about', '62'}",1,0,0.6597682834281668,0.8263396765190093,0.0,0.5614547698074621,10,0,13,40,1,1,0,0,6.0,0,6.0,False,False
C63,U901,I357,I think this could be improved. Reference 63,2026-08-09 04:55:31.777788,False,GENUINE,i think this could be improved reference 63,"{'could', 'think', '63', 'i', 'improved', 'this', 'reference', 'be'}",1,0,0.759419500520574,0.8827289566453193,0.0,0.6188884078403286,20,0,9,20,1,1,0,0,6.0,0,6.0,False,False
C64,U996,I322,Thanks for sharing this information. Reference 64,2026-06-08 05:26:31.777802,False,GENUINE,thanks for sharing this information reference 64,"{'for', 'thanks', 'information', '64', 'this', 'reference', 'sharing'}",1,0,0.5701792786438931,0.8615623845304737,0.0,0.544187701337552,10,0,3,0,1,1,0,0,2.0,0,2.0,False,False
C65,U162,I159,This was a surprisingly interesting post. Reference 65,2026-06-22 13:34:31.777816,False,GENUINE,this was a surprisingly interesting post reference 65,"{'was', 'this', 'reference', 'interesting', '65', 'a', 'post', 'surprisingly'}",1,0,0.7375212809061276,0.9026975656800729,0.0,0.6192114745891738,20,0,8,20,1,1,0,0,6.0,0,6.0,False,False
C66,U417,I47,The explanation of gaming was very clear. Reference 66,2026-06-30 19:56:31.777830,False,GENUINE,the explanation of gaming was very clear reference 66,"{'very', 'was', 'clear', 'of', '66', 'the', 'explanation', 'reference', 'gaming'}",1,0,0.7108691624061542,0.8866130915616649,0.0,0.6034494434668198,20,0,1,0,1,1,0,0,4.0,0,4.0,False,False
C67,U969,I60,I learned something useful about food here. Reference 67,2026-06-07 14:32:31.777844,False,GENUINE,i learned something useful about food here reference 67,"{'useful', 'i', 'here', 'reference', '67', 'learned', 'food', 'something', 'about'}",1,0,0.65470345624931,0.8305097122388724,0.0,0.5613500945828075,10,0,6,20,1,1,0,0,4.0,0,4.0,False,False
C68,U298,I260,I have a different opinion about fashion. Reference 68,2026-06-28 21:56:31.777858,False,GENUINE,i have a different opinion about fashion reference 68,"{'opinion', 'i', 'fashion', '68', 'have', 'reference', 'different', 'a', 'about'}",1,0,0.6208719682633899,0.8523862723742277,0.0,0.5582596978418776,10,0,8,20,1,1,0,0,4.0,0,4.0,False,False
C69,U483,I124,Amazing product buy now,2026-07-07 22:01:31.777874,False,GENUINE,amazing product buy now,"{'now', 'product', 'buy', 'amazing'}",69,50,1.0,1.0,1.0,1.0,50,27,5,20,68,1,65,40,47.05,0,47.05,False,False
C70,U195,I471,Thanks for sharing this information. Reference 70,2026-08-05 11:28:31.777888,False,GENUINE,thanks for sharing this information reference 70,"{'for', 'thanks', 'information', 'this', 'reference', '70', 'sharing'}",1,0,0.5701792786438931,0.861439741860971,0.0,0.544138644269751,10,0,2,0,1,1,0,0,2.0,0,2.0,False,False
C71,U282,I395,The information presented here is useful. Reference 71,2026-06-26 14:48:31.777908,False,GENUINE,the information presented here is useful reference 71,"{'useful', 'presented', '71', 'information', 'is', 'the', 'reference', 'here'}",1,0,0.5910259597851174,0.8621009005901517,0.0,0.5516994461608518,10,0,7,20,1,1,0,0,4.0,0,4.0,False,False
C72,U273,I420,I really enjoyed this post about movies. Reference 72,2026-06-06 17:54:31.777922,False,GENUINE,i really enjoyed this post about movies reference 72,"{'i', 'movies', '72', 'this', 'post', 'reference', 'really', 'enjoyed', 'about'}",1,0,0.646188661896766,0.8805259871074641,0.0,0.5783764265068537,10,0,13,40,1,1,0,0,6.0,0,6.0,False,False
C73,U305,I428,Thanks for sharing this information. Reference 73,2026-07-29 07:22:31.777936,False,GENUINE,thanks for sharing this information reference 73,"{'for', 'thanks', '73', 'information', 'this', 'reference', 'sharing'}",1,0,0.5701792786438931,0.861439741860971,0.0,0.544138644269751,10,0,4,0,1,1,0,0,2.0,0,2.0,False,False
C74,U457,I275,I think this could be improved. Reference 74,2026-07-12 13:45:31.777950,False,GENUINE,i think this could be improved reference 74,"{'could', 'think', 'i', 'improved', 'this', 'reference', '74', 'be'}",1,0,0.759419500520574,0.8815319814618965,0.0,0.6184096177669596,20,0,8,20,1,1,0,0,6.0,0,6.0,False,False
C75,U565,I390,This was a surprisingly interesting post. Reference 75,2026-07-01 09:16:31.777964,False,GENUINE,this was a surprisingly interesting post reference 75,"{'75', 'was', 'this', 'reference', 'interesting', 'a', 'post', 'surprisingly'}",1,0,0.7375212809061276,0.9035772277381504,0.0,0.6195633394124048,20,0,5,20,1,1,0,0,6.0,0,6.0,False,False
C76,U955,I164,The explanation of sports was very clear. Reference 76,2026-06-20 18:52:31.777979,False,GENUINE,the explanation of sports was very clear reference 76,"{'very', '76', 'was', 'clear', 'of', 'the', 'explanation', 'reference', 'sports'}",1,0,0.7100952576393268,0.8304526397419475,0.0,0.5807143960705434,10,0,8,20,1,1,0,0,4.0,0,4.0,False,False
C77,U392,I119,The information presented here is useful. Reference 77,2026-07-13 20:54:31.777994,False,GENUINE,the information presented here is useful reference 77,"{'useful', 'presented', '77', 'information', 'is', 'the', 'reference', 'here'}",1,0,0.5910259597851174,0.8617167416191325,0.0,0.5515457825724441,10,0,6,20,1,1,0,0,4.0,0,4.0,False,False
C78,U762,I242,The information presented here is useful. Reference 78,2026-06-12 10:07:31.778008,False,GENUINE,the information presented here is useful reference 78,"{'useful', 'presented', 'information', 'is', 'the', 'reference', '78', 'here'}",1,0,0.5910259597851174,0.862222825278936,0.0,0.5517482160363655,10,0,6,20,1,1,0,0,4.0,0,4.0,False,False
C79,U811,I420,I learned something useful about food here. Reference 79,2026-08-08 11:06:31.778023,False,GENUINE,i learned something useful about food here reference 79,"{'useful', 'i', '79', 'here', 'reference', 'learned', 'food', 'something', 'about'}",1,0,0.65470345624931,0.8305097122388724,0.0,0.5613500945828075,10,0,4,0,1,1,0,0,2.0,0,2.0,False,False
C80,U129,I257,Thanks for sharing this information. Reference 80,2026-08-02 16:44:31.778037,False,GENUINE,thanks for sharing this information reference 80,"{'for', 'thanks', 'information', 'this', 'reference', '80', 'sharing'}",1,0,0.5701792786438931,0.861185352588882,0.0,0.5440368885609154,10,0,6,20,1,1,0,0,4.0,0,4.0,False,False
